priority,old_url,clicks,impressions,current_redirect_target,candidate_exact_route,candidate_indexability,quality_issues,reviewed_disposition,severity,commercial_exposure,implementation_status,corrected_fields,provenance,unresolved_facts,indexation_decision,redirect_decision,next_evidence,rationale
38,https://oztimberfloor.com.au/product/solid-raw-timber-sydney-blue-gum/,1,19,/solid-timber-flooring-sydney/,/products/solid-raw-timber-sydney-blue-gum/,missing,unverified,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,1 clicks / 19 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The legacy product currently resolves to a broad category and needs a product-level evidence decision.
39,https://oztimberfloor.com.au/product/preference-select-blackbutt/?utm_source=rss&utm_medium=rss&utm_campaign=preference-select-blackbutt,1,16,/ranges/select-australian-timber/,/products/preference-select-blackbutt/,missing,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 16 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,redirect-range,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
40,https://oztimberfloor.com.au/product/infinite-brush-box/,1,12,/laminate-flooring-sydney/,/products/infinite-brush-box/,noindex,empty-or-placeholder-thickness,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,1 clicks / 12 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The closest product or range is not safe to index; retain controlled treatment pending verified data.
41,https://oztimberfloor.com.au/product/stone-floor-snow-white/,1,10,/ranges/stone-floor-tile/,/products/stone-floor-snow-white/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 10 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Stone Floor Tile range.
42,https://oztimberfloor.com.au/product/aspire-pale-gorge/,1,10,/ranges/aspire/,/products/aspire-pale-gorge/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 10 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
43,https://oztimberfloor.com.au/product/preference-classic-brush-box/,1,9,/ranges/classic-laminate/,/products/preference-classic-brush-box/,missing,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 9 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,redirect-range,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
44,https://oztimberfloor.com.au/product/hydroplank-brooklyn/,1,8,/ranges/hydroplank-wpc/,/products/hydroplank-brooklyn/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 8 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
45,https://oztimberfloor.com.au/product/ornato-latina/,1,8,/ranges/ornato-vinyl/,/products/ornato-latina/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 8 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
46,https://oztimberfloor.com.au/product/swish-oak-fiano-brown/,1,7,/ranges/swish-oak-natura/,/products/swish-oak-fiano-brown/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 7 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Swish Oak Natura range.
47,https://oztimberfloor.com.au/product/hydroplank-harlem/,1,7,/ranges/hydroplank-wpc/,/products/hydroplank-harlem/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 7 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
48,https://oztimberfloor.com.au/product/oakleaf-limesmoke-oak/,1,7,/ranges/oakleaf/,/products/oakleaf-limesmoke-oak/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 7 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
49,https://oztimberfloor.com.au/product/kronoswiss-aquastop-interlaken/,1,6,/ranges/kronoswiss-aquastop/,/products/kronoswiss-aquastop-interlaken/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 6 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
50,https://oztimberfloor.com.au/product/aspire-twilight-mist/,1,6,/ranges/aspire/,/products/aspire-twilight-mist/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 6 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
51,https://oztimberfloor.com.au/product/grandoak-canyon-oak/,1,5,/engineered-timber-flooring-sydney/,/products/grandoak-canyon-oak/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 5 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-category,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.","Grand Oak catalogue evidence identifies Engineered timber, but no verified indexable Grand Oak product or range is published; retain the Engineered timber owner rather than the semantically wrong Hybrid category."
52,https://oztimberfloor.com.au/product/preference-classic-blackbutt/,1,5,/ranges/classic-laminate/,/products/preference-classic-blackbutt/,missing,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 5 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,redirect-range,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
53,https://oztimberfloor.com.au/product/stonewood-coffee/,1,4,/hardwood-timber-flooring-sydney/,/products/stonewood-coffee/,missing,unverified,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,1 clicks / 4 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The legacy product currently resolves to a broad category and needs a product-level evidence decision.
54,https://oztimberfloor.com.au/product/swish-aquastop-blackbutt/,1,4,/ranges/swish-laminate-aqua/,/products/swish-aquastop-blackbutt/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 4 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Swish Laminate Aqua range.
55,https://oztimberfloor.com.au/product/grandoak-trio-smoked-oak/?utm_source=rss&utm_medium=rss&utm_campaign=grandoak-trio-smoked-oak,1,3,/engineered-timber-flooring-sydney/,/products/grandoak-trio-smoked-oak/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 3 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-category,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.","Grand Oak catalogue evidence identifies Engineered timber, but no verified indexable Grand Oak product or range is published; retain the Engineered timber owner rather than the semantically wrong Hybrid category."
56,https://oztimberfloor.com.au/product/stone-floor-blackbutt/,1,3,/ranges/stone-floor-tile/,/products/stone-floor-blackbutt/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 3 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Stone Floor Tile range.
57,https://oztimberfloor.com.au/product/hydroplank-bronx/,1,3,/ranges/hydroplank-wpc/,/products/hydroplank-bronx/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 3 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
58,https://oztimberfloor.com.au/product/oakleaf-imperial/,1,2,/ranges/oakleaf/,/products/oakleaf-imperial/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 2 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
59,https://oztimberfloor.com.au/product/swish-oak-raw-caramel/?utm_source=rss&utm_medium=rss&utm_campaign=swish-oak-raw-caramel,1,1,/ranges/swish-oak-natura/,/products/swish-oak-raw-caramel/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 1 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Swish Oak Natura range.
60,https://oztimberfloor.com.au/product/stone-floor-white-wash/,0,1346,/ranges/stone-floor-tile/,/products/stone-floor-white-wash/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,HIGH,0 clicks / 1346 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Stone Floor Tile range.
