id,slug,url,brand,supplier,supplierSourceUrl,range,rangeSlug,colour,category,shortDescription,thickness,boardSize,packSizeM2,installationMethod,finish,warrantySummary,suitableUse,cautionNotes,stockStatusLabel,primaryImage,altText,galleryStatus,specSheetUrl,wearLayer,coreType,acousticBacking,waterResistance,acRating,edgeDetail,species,totalThickness,structureCore,surfaceFinish,gradeCharacter,boardWidth,rawOrPrefinished,sandingFinishingNotes,plankOrTileFormat,commercialSuitability,sourceTag
elite-6-0-hybrid-select-spotted-gum,elite-6-0-hybrid-select-spotted-gum,/products/elite-6-0-hybrid-select-spotted-gum/,,,,Elite 6.0 Hybrid,elite-6-0-hybrid,Select Spotted Gum,Hybrid,"Elite 6.0 Hybrid Select Spotted Gum is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",6.0mm,,,Floating click system. Final installation method depends on the product specification and site conditions.,,Confirm the current supplier warranty for the selected range before ordering.,"Apartments, Bedrooms, Rental renovations, Living areas","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/elite-6mm/select-spotted-gum.webp,Select Spotted Gum Elite 6.0 Hybrid Flooring sample,single-image-only,,,,,,,,,6.0mm,,,,,,,,,Eco live-aligned import
elite-6-0-hybrid-silver-lake,elite-6-0-hybrid-silver-lake,/products/elite-6-0-hybrid-silver-lake/,,,,Elite 6.0 Hybrid,elite-6-0-hybrid,Silver Lake,Hybrid,"Elite 6.0 Hybrid Silver Lake is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",6.0mm,,,Floating click system. Final installation method depends on the product specification and site conditions.,,Confirm the current supplier warranty for the selected range before ordering.,"Apartments, Bedrooms, Rental renovations, Living areas","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/elite-6mm/silver-lake.webp,Silver Lake Elite 6.0 Hybrid Flooring sample,single-image-only,,,,,,,,,6.0mm,,,,,,,,,Eco live-aligned import
elite-6-0-hybrid-washed-blackbutt,elite-6-0-hybrid-washed-blackbutt,/products/elite-6-0-hybrid-washed-blackbutt/,,,,Elite 6.0 Hybrid,elite-6-0-hybrid,Washed Blackbutt,Hybrid,"Elite 6.0 Hybrid Washed Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",6.0mm,,,Floating click system. Final installation method depends on the product specification and site conditions.,,Confirm the current supplier warranty for the selected range before ordering.,"Apartments, Bedrooms, Rental renovations, Living areas","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/elite-6mm/washed-blackbutt.webp,Washed Blackbutt Elite 6.0 Hybrid Flooring sample,single-image-only,,,,,,,,,6.0mm,,,,,,,,,Eco live-aligned import
etf-7-0mm-hybrid-antique-oak,etf-7-0mm-hybrid-antique-oak,/products/etf-7-0mm-hybrid-antique-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Antique Oak,Hybrid,"ETF 7.0mm Hybrid Antique Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-antique-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Antique Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-baden-oak,etf-7-0mm-hybrid-baden-oak,/products/etf-7-0mm-hybrid-baden-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Baden Oak,Hybrid,"ETF 7.0mm Hybrid Baden Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-baden-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Baden Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-blackbutt,etf-7-0mm-hybrid-blackbutt,/products/etf-7-0mm-hybrid-blackbutt/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Blackbutt,Hybrid,"ETF 7.0mm Hybrid Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-blackbutt.jpg, ETF 7.0mm Hybrid Waterproof Flooring Blackbutt colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-brushbox,etf-7-0mm-hybrid-brushbox,/products/etf-7-0mm-hybrid-brushbox/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Brushbox,Hybrid,"ETF 7.0mm Hybrid Brushbox is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-brushbox.jpg, ETF 7.0mm Hybrid Waterproof Flooring Brushbox colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-caramel-oak,etf-7-0mm-hybrid-caramel-oak,/products/etf-7-0mm-hybrid-caramel-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Caramel Oak,Hybrid,"ETF 7.0mm Hybrid Caramel Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-caramel-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Caramel Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-dexter-oak,etf-7-0mm-hybrid-dexter-oak,/products/etf-7-0mm-hybrid-dexter-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Dexter Oak,Hybrid,"ETF 7.0mm Hybrid Dexter Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-dexter-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Dexter Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-downtown-oak,etf-7-0mm-hybrid-downtown-oak,/products/etf-7-0mm-hybrid-downtown-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Downtown Oak,Hybrid,"ETF 7.0mm Hybrid Downtown Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-downtown-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Downtown Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-driftwood,etf-7-0mm-hybrid-driftwood,/products/etf-7-0mm-hybrid-driftwood/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Driftwood,Hybrid,"ETF 7.0mm Hybrid Driftwood is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-driftwood.jpg, ETF 7.0mm Hybrid Waterproof Flooring Driftwood colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-grey-oak,etf-7-0mm-hybrid-grey-oak,/products/etf-7-0mm-hybrid-grey-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Grey Oak,Hybrid,"ETF 7.0mm Hybrid Grey Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-grey-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Grey Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-hatton-oak,etf-7-0mm-hybrid-hatton-oak,/products/etf-7-0mm-hybrid-hatton-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Hatton Oak,Hybrid,"ETF 7.0mm Hybrid Hatton Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-hatton-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Hatton Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-helena-oak,etf-7-0mm-hybrid-helena-oak,/products/etf-7-0mm-hybrid-helena-oak/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Helena Oak,Hybrid,"ETF 7.0mm Hybrid Helena Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-helena-oak.jpg, ETF 7.0mm Hybrid Waterproof Flooring Helena Oak colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-holly-hills,etf-7-0mm-hybrid-holly-hills,/products/etf-7-0mm-hybrid-holly-hills/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Holly Hills,Hybrid,"ETF 7.0mm Hybrid Holly Hills is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-holly-hills.jpg, ETF 7.0mm Hybrid Waterproof Flooring Holly Hills colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-jarrah,etf-7-0mm-hybrid-jarrah,/products/etf-7-0mm-hybrid-jarrah/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Jarrah,Hybrid,"ETF 7.0mm Hybrid Jarrah is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-jarrah.jpg, ETF 7.0mm Hybrid Waterproof Flooring Jarrah colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-julan,etf-7-0mm-hybrid-julan,/products/etf-7-0mm-hybrid-julan/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Julan,Hybrid,"ETF 7.0mm Hybrid Julan is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-julan.jpg, ETF 7.0mm Hybrid Waterproof Flooring Julan colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-7-0mm-hybrid-lake-oak-light,etf-7-0mm-hybrid-lake-oak-light,/products/etf-7-0mm-hybrid-lake-oak-light/,,,,ETF 7.0mm Hybrid,etf-7-0mm-hybrid,Lake Oak Light,Hybrid,"ETF 7.0mm Hybrid Lake Oak Light is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",7.0mm,1500 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-7mm-lake-oak-light.jpg, ETF 7.0mm Hybrid Waterproof Flooring Lake Oak Light colour sample,single-image-only,,,,,,,,,7.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-alaskan-oak,etf-8-0mm-hybrid-alaskan-oak,/products/etf-8-0mm-hybrid-alaskan-oak/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Alaskan Oak,Hybrid,"ETF 8.0mm Hybrid Alaskan Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-alaskan-oak.jpg, ETF 8.0mm Hybrid Flooring Alaskan Oak colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-american-oak,etf-8-0mm-hybrid-american-oak,/products/etf-8-0mm-hybrid-american-oak/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,American Oak,Hybrid,"ETF 8.0mm Hybrid American Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-american-oak.jpg, ETF 8.0mm Hybrid Flooring American Oak colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-coastal-blackbutt,etf-8-0mm-hybrid-coastal-blackbutt,/products/etf-8-0mm-hybrid-coastal-blackbutt/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Coastal Blackbutt,Hybrid,"ETF 8.0mm Hybrid Coastal Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-coastal-blackbutt.jpg, ETF 8.0mm Hybrid Flooring Coastal Blackbutt colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-driftwood,etf-8-0mm-hybrid-driftwood,/products/etf-8-0mm-hybrid-driftwood/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Driftwood,Hybrid,"ETF 8.0mm Hybrid Driftwood is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-driftwood.jpg, ETF 8.0mm Hybrid Flooring Driftwood colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-french-oak,etf-8-0mm-hybrid-french-oak,/products/etf-8-0mm-hybrid-french-oak/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,French Oak,Hybrid,"ETF 8.0mm Hybrid French Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-french-oak.jpg, ETF 8.0mm Hybrid Flooring French Oak colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-grey-oak,etf-8-0mm-hybrid-grey-oak,/products/etf-8-0mm-hybrid-grey-oak/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Grey Oak,Hybrid,"ETF 8.0mm Hybrid Grey Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-grey-oak.jpg, ETF 8.0mm Hybrid Flooring Grey Oak colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-helena-oak,etf-8-0mm-hybrid-helena-oak,/products/etf-8-0mm-hybrid-helena-oak/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Helena Oak,Hybrid,"ETF 8.0mm Hybrid Helena Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-helena-oak.jpg, ETF 8.0mm Hybrid Flooring Helena Oak colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-natural-oak,etf-8-0mm-hybrid-natural-oak,/products/etf-8-0mm-hybrid-natural-oak/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Natural Oak,Hybrid,"ETF 8.0mm Hybrid Natural Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-natural-oak.jpg, ETF 8.0mm Hybrid Flooring Natural Oak colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-new-zealand-blackbutt,etf-8-0mm-hybrid-new-zealand-blackbutt,/products/etf-8-0mm-hybrid-new-zealand-blackbutt/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,New Zealand Blackbutt,Hybrid,"ETF 8.0mm Hybrid New Zealand Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-new-zealand-blackbutt.jpg, ETF 8.0mm Hybrid Flooring New Zealand Blackbutt colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-qld-spotted-gum,etf-8-0mm-hybrid-qld-spotted-gum,/products/etf-8-0mm-hybrid-qld-spotted-gum/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,QLD Spotted Gum,Hybrid,"ETF 8.0mm Hybrid QLD Spotted Gum is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-qld-spotted-gum.jpg, ETF 8.0mm Hybrid Flooring QLD Spotted Gum colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-riverview,etf-8-0mm-hybrid-riverview,/products/etf-8-0mm-hybrid-riverview/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Riverview,Hybrid,"ETF 8.0mm Hybrid Riverview is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-riverview.jpg, ETF 8.0mm Hybrid Flooring Riverview colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-8-0mm-hybrid-spotted-gum,etf-8-0mm-hybrid-spotted-gum,/products/etf-8-0mm-hybrid-spotted-gum/,,,,ETF 8.0mm Hybrid,etf-8-0mm-hybrid,Spotted Gum,Hybrid,"ETF 8.0mm Hybrid Spotted Gum is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",8.0mm,1810 mm x 228 mm,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-8mm-spotted-gum.jpg, ETF 8.0mm Hybrid Flooring Spotted Gum colour sample,single-image-only,,,,,,,,,8.0mm,,,,,,,,, live-aligned import
etf-9-0mm-hybrid-alaskan-oak,etf-9-0mm-hybrid-alaskan-oak,/products/etf-9-0mm-hybrid-alaskan-oak/,,,,ETF 9.0mm Hybrid,etf-9-0mm-hybrid,Alaskan Oak,Hybrid,"ETF 9.0mm Hybrid Alaskan Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9.0mm,Refer to selected colour brochure,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-9mm-alaskan-oak.jpg, ETF 9.0mm Hybrid Flooring Alaskan Oak colour sample,single-image-only,,,,,,,,,9.0mm,,,,,,,,, live-aligned import
etf-9-0mm-hybrid-american-oak,etf-9-0mm-hybrid-american-oak,/products/etf-9-0mm-hybrid-american-oak/,,,,ETF 9.0mm Hybrid,etf-9-0mm-hybrid,American Oak,Hybrid,"ETF 9.0mm Hybrid American Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9.0mm,Refer to selected colour brochure,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-9mm-american-oak.jpg, ETF 9.0mm Hybrid Flooring American Oak colour sample,single-image-only,,,,,,,,,9.0mm,,,,,,,,, live-aligned import
etf-9-0mm-hybrid-coastal-blackbutt,etf-9-0mm-hybrid-coastal-blackbutt,/products/etf-9-0mm-hybrid-coastal-blackbutt/,,,,ETF 9.0mm Hybrid,etf-9-0mm-hybrid,Coastal Blackbutt,Hybrid,"ETF 9.0mm Hybrid Coastal Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9.0mm,Refer to selected colour brochure,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-9mm-coastal-blackbutt.jpg, ETF 9.0mm Hybrid Flooring Coastal Blackbutt colour sample,single-image-only,,,,,,,,,9.0mm,,,,,,,,, live-aligned import
etf-9-0mm-hybrid-dexter-oak,etf-9-0mm-hybrid-dexter-oak,/products/etf-9-0mm-hybrid-dexter-oak/,,,,ETF 9.0mm Hybrid,etf-9-0mm-hybrid,Dexter Oak,Hybrid,"ETF 9.0mm Hybrid Dexter Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9.0mm,Refer to selected colour brochure,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-9mm-dexter-oak.jpg, ETF 9.0mm Hybrid Flooring Dexter Oak colour sample,single-image-only,,,,,,,,,9.0mm,,,,,,,,, live-aligned import
etf-9-0mm-hybrid-driftwood,etf-9-0mm-hybrid-driftwood,/products/etf-9-0mm-hybrid-driftwood/,,,,ETF 9.0mm Hybrid,etf-9-0mm-hybrid,Driftwood,Hybrid,"ETF 9.0mm Hybrid Driftwood is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9.0mm,Refer to selected colour brochure,,Floating click-lock system,,Confirm the current supplier warranty for the selected range before ordering.,"Living areas, Bedrooms, Apartments, Rental properties, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/etf-9mm-driftwood.jpg, ETF 9.0mm Hybrid Flooring Driftwood colour sample,single-image-only,,,,,,,,,9.0mm,,,,,,,,, live-aligned import
